epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
27,1013.28,1.15612,0.76267,1.26779,0.05061,0.83407,0.81662,0.88446,0.59693,1.07543,0.73982,1.38295,0.00435,0.00538224,0.00179408,0.00538224,0.00179408,0.00538224,0.00179408,0.00538224,0.00179408
28,1042.08,1.149,0.75774,1.26508,0.04985,0.8352,0.8189,0.88594,0.59776,1.07207,0.73767,1.38286,0.00413,0.00535848,0.00178616,0.00535848,0.00178616,0.00535848,0.00178616,0.00535848,0.00178616
29,1070.89,1.13983,0.75132,1.26367,0.04661,0.84016,0.80193,0.88005,0.59864,1.0715,0.73949,1.37473,0.00346,0.00533472,0.00177824,0.00533472,0.00177824,0.00533472,0.00177824,0.00533472,0.00177824
30,1100.3,1.13152,0.74638,1.26336,0.04506,0.8337,0.81026,0.88239,0.60143,1.0695,0.72594,1.38648,0.00427,0.00531096,0.00177032,0.00531096,0.00177032,0.00531096,0.00177032,0.00531096,0.00177032
31,1174.59,1.13696,0.74817,1.27412,0.04608,0.83845,0.8116,0.87881,0.59852,1.07826,0.72857,1.36745,0.004,0.0052872,0.0017624,0.0052872,0.0017624,0.0052872,0.0017624,0.0052872,0.0017624
32,1246.57,1.12481,0.74131,1.25583,0.04472,0.84139,0.80977,0.88369,0.60329,1.06864,0.73617,1.37688,0.00382,0.00526344,0.00175448,0.00526344,0.00175448,0.00526344,0.00175448,0.00526344,0.00175448
33,1276.71,1.11423,0.73422,1.25236,0.0451,0.83799,0.80479,0.87669,0.59911,1.07457,0.73593,1.36005,0.00335,0.00523968,0.00174656,0.00523968,0.00174656,0.00523968,0.00174656,0.00523968,0.00174656
34,1305.4,1.12263,0.7381,1.26554,0.04459,0.83404,0.80962,0.88242,0.60148,1.06987,0.7378,1.38867,0.00371,0.00521592,0.00173864,0.00521592,0.00173864,0.00521592,0.00173864,0.00521592,0.00173864
35,1335.32,1.10767,0.73291,1.25578,0.0432,0.84389,0.80083,0.88054,0.60163,1.07866,0.74137,1.39236,0.00365,0.00519216,0.00173072,0.00519216,0.00173072,0.00519216,0.00173072,0.00519216,0.00173072
36,1365.54,1.11394,0.73151,1.26282,0.04285,0.84095,0.80708,0.8831,0.60082,1.0722,0.73719,1.37607,0.00347,0.0051684,0.0017228,0.0051684,0.0017228,0.0051684,0.0017228,0.0051684,0.0017228
37,1401.68,1.10672,0.73004,1.25727,0.04179,0.82404,0.79263,0.85938,0.58888,1.08626,0.75534,1.38937,0.00371,0.00514464,0.00171488,0.00514464,0.00171488,0.00514464,0.00171488,0.00514464,0.00171488
38,1430.42,1.10366,0.72632,1.25217,0.04076,0.83212,0.80854,0.8774,0.60132,1.0782,0.74314,1.37583,0.00374,0.00512088,0.00170696,0.00512088,0.00170696,0.00512088,0.00170696,0.00512088,0.00170696
39,1459.14,1.10827,0.72933,1.2526,0.04356,0.83802,0.81528,0.88364,0.60427,1.06413,0.7258,1.3833,0.00371,0.00509712,0.00169904,0.00509712,0.00169904,0.00509712,0.00169904,0.00509712,0.00169904
40,1489.14,1.09596,0.7211,1.25753,0.03936,0.83156,0.81234,0.8799,0.59995,1.07157,0.724,1.38686,0.0035,0.00507336,0.00169112,0.00507336,0.00169112,0.00507336,0.00169112,0.00507336,0.00169112
41,1524.89,1.09725,0.71969,1.25074,0.04174,0.84445,0.80499,0.88327,0.60396,1.07785,0.74285,1.39121,0.00382,0.0050496,0.0016832,0.0050496,0.0016832,0.0050496,0.0016832,0.0050496,0.0016832
42,1556.05,1.09055,0.71654,1.25389,0.04049,0.83085,0.80816,0.87516,0.59498,1.08892,0.7422,1.38677,0.00353,0.00502584,0.00167528,0.00502584,0.00167528,0.00502584,0.00167528,0.00502584,0.00167528
43,1585.18,1.09877,0.719,1.25606,0.03859,0.84087,0.81504,0.88108,0.6014,1.079,0.72222,1.39015,0.00355,0.00500208,0.00166736,0.00500208,0.00166736,0.00500208,0.00166736,0.00500208,0.00166736
44,1616.44,1.08188,0.71024,1.24867,0.03778,0.84148,0.82006,0.88425,0.60214,1.08785,0.72688,1.39952,0.00367,0.00497832,0.00165944,0.00497832,0.00165944,0.00497832,0.00165944,0.00497832,0.00165944
45,1646.26,1.07737,0.70499,1.24829,0.03989,0.83928,0.81567,0.88166,0.60057,1.08456,0.72523,1.39145,0.0034,0.00495456,0.00165152,0.00495456,0.00165152,0.00495456,0.00165152,0.00495456,0.00165152
46,1675.11,1.09722,0.7196,1.25093,0.04252,0.83963,0.80867,0.88121,0.59538,1.08607,0.72838,1.40587,0.00337,0.0049308,0.0016436,0.0049308,0.0016436,0.0049308,0.0016436,0.0049308,0.0016436
47,1824.75,1.08303,0.71073,1.24265,0.04032,0.83232,0.8274,0.8845,0.60349,1.08726,0.7271,1.3977,0.00317,0.00490704,0.00163568,0.00490704,0.00163568,0.00490704,0.00163568,0.00490704,0.00163568
48,1855.74,1.07847,0.70682,1.24816,0.03695,0.84747,0.79483,0.87776,0.59706,1.09062,0.7385,1.38997,0.00369,0.00488328,0.00162776,0.00488328,0.00162776,0.00488328,0.00162776,0.00488328,0.00162776
49,1885.16,1.0761,0.70444,1.24489,0.03636,0.83246,0.8116,0.87529,0.59545,1.09586,0.73506,1.39784,0.00333,0.00485952,0.00161984,0.00485952,0.00161984,0.00485952,0.00161984,0.00485952,0.00161984
50,1918.48,1.07517,0.70206,1.23952,0.03707,0.83346,0.81478,0.87905,0.59763,1.09331,0.72751,1.40144,0.00309,0.00483576,0.00161192,0.00483576,0.00161192,0.00483576,0.00161192,0.00483576,0.00161192
51,1947.98,1.07095,0.7024,1.24119,0.03705,0.82243,0.8176,0.87233,0.59184,1.10257,0.73637,1.40815,0.00357,0.004812,0.001604,0.004812,0.001604,0.004812,0.001604,0.004812,0.001604
52,1976.84,1.07272,0.7026,1.245,0.03674,0.83471,0.81846,0.87665,0.59216,1.10296,0.73757,1.41335,0.00353,0.00478824,0.00159608,0.00478824,0.00159608,0.00478824,0.00159608,0.00478824,0.00159608
53,2006.2,1.0631,0.69377,1.23701,0.03704,0.84194,0.80467,0.87234,0.59826,1.09043,0.73709,1.38482,0.00346,0.00476448,0.00158816,0.00476448,0.00158816,0.00476448,0.00158816,0.00476448,0.00158816
54,2035.14,1.07239,0.69882,1.23709,0.036,0.83726,0.81283,0.87743,0.59882,1.09474,0.72564,1.40223,0.00332,0.00474072,0.00158024,0.00474072,0.00158024,0.00474072,0.00158024,0.00474072,0.00158024
55,2064.38,1.05571,0.68916,1.23666,0.03722,0.83296,0.81674,0.87736,0.59426,1.09883,0.73541,1.40843,0.00335,0.00471696,0.00157232,0.00471696,0.00157232,0.00471696,0.00157232,0.00471696,0.00157232
56,2093.82,1.04696,0.68342,1.23242,0.03613,0.83464,0.80304,0.86866,0.58938,1.10297,0.73614,1.40381,0.00318,0.0046932,0.0015644,0.0046932,0.0015644,0.0046932,0.0015644,0.0046932,0.0015644
57,2218.84,1.05752,0.68858,1.23948,0.03558,0.84342,0.81234,0.87831,0.60197,1.0866,0.72869,1.39127,0.00306,0.00466944,0.00155648,0.00466944,0.00155648,0.00466944,0.00155648,0.00466944,0.00155648
58,2248.77,1.0549,0.68565,1.23737,0.0388,0.82787,0.81662,0.87564,0.59349,1.10436,0.73704,1.4142,0.00355,0.00464568,0.00154856,0.00464568,0.00154856,0.00464568,0.00154856,0.00464568,0.00154856
59,2279.15,1.0631,0.69167,1.23033,0.03636,0.83388,0.81356,0.87422,0.59202,1.10769,0.73092,1.41736,0.00351,0.00462192,0.00154064,0.00462192,0.00154064,0.00462192,0.00154064,0.00462192,0.00154064
60,2308.02,1.04062,0.68048,1.23459,0.03498,0.83677,0.81264,0.87325,0.59755,1.09407,0.73173,1.40625,0.00316,0.00459816,0.00153272,0.00459816,0.00153272,0.00459816,0.00153272,0.00459816,0.00153272
61,2336.52,1.05376,0.68323,1.23032,0.03676,0.83364,0.82164,0.87731,0.59629,1.10834,0.73401,1.41597,0.00341,0.0045744,0.0015248,0.0045744,0.0015248,0.0045744,0.0015248,0.0045744,0.0015248
62,2365.21,1.0452,0.67854,1.23692,0.03421,0.84134,0.8095,0.8737,0.59418,1.10722,0.72561,1.41301,0.0033,0.00455064,0.00151688,0.00455064,0.00151688,0.00455064,0.00151688,0.00455064,0.00151688
63,2408.82,1.04483,0.67567,1.2303,0.03335,0.84193,0.82225,0.88282,0.60383,1.10104,0.71513,1.41359,0.00345,0.00452688,0.00150896,0.00452688,0.00150896,0.00452688,0.00150896,0.00452688,0.00150896
64,2437.38,1.03454,0.67429,1.2238,0.03554,0.82611,0.81944,0.87092,0.58813,1.1289,0.73099,1.44716,0.00302,0.00450312,0.00150104,0.00450312,0.00150104,0.00450312,0.00150104,0.00450312,0.00150104
65,2467.34,1.03115,0.66718,1.2236,0.03423,0.83778,0.81552,0.87348,0.5951,1.09589,0.71934,1.40207,0.00345,0.00447936,0.00149312,0.00447936,0.00149312,0.00447936,0.00149312,0.00447936,0.00149312
66,2496.63,1.04989,0.67846,1.23412,0.03612,0.83084,0.81949,0.8718,0.59338,1.10058,0.71846,1.4069,0.00373,0.0044556,0.0014852,0.0044556,0.0014852,0.0044556,0.0014852,0.0044556,0.0014852
67,2525.29,1.03695,0.67231,1.23087,0.03187,0.83817,0.81981,0.87676,0.59757,1.10328,0.71911,1.41408,0.00321,0.00443184,0.00147728,0.00443184,0.00147728,0.00443184,0.00147728,0.00443184,0.00147728
68,2576.76,1.03741,0.6713,1.22596,0.03783,0.83084,0.81846,0.8735,0.59429,1.10592,0.72211,1.41409,0.0034,0.00440808,0.00146936,0.00440808,0.00146936,0.00440808,0.00146936,0.00440808,0.00146936
69,2608.98,1.02882,0.66792,1.2239,0.03535,0.84364,0.80965,0.87321,0.59573,1.10604,0.72153,1.42176,0.00359,0.00438432,0.00146144,0.00438432,0.00146144,0.00438432,0.00146144,0.00438432,0.00146144
70,2639.95,1.04076,0.67336,1.22373,0.03428,0.8233,0.82649,0.87283,0.59397,1.11024,0.72649,1.42201,0.00352,0.00436056,0.00145352,0.00436056,0.00145352,0.00436056,0.00145352,0.00436056,0.00145352
71,2669.51,1.03175,0.6681,1.22224,0.03397,0.82788,0.82253,0.8721,0.59204,1.11475,0.72652,1.41802,0.00363,0.0043368,0.0014456,0.0043368,0.0014456,0.0043368,0.0014456,0.0043368,0.0014456
72,2698.17,1.03281,0.66698,1.22484,0.03369,0.8417,0.81283,0.8757,0.59444,1.11736,0.72132,1.43727,0.00344,0.00431304,0.00143768,0.00431304,0.00143768,0.00431304,0.00143768,0.00431304,0.00143768
73,2745.14,1.03071,0.66449,1.21745,0.03535,0.83273,0.81515,0.87013,0.59145,1.12044,0.72701,1.43092,0.00339,0.00428928,0.00142976,0.00428928,0.00142976,0.00428928,0.00142976,0.00428928,0.00142976
74,2776.07,1.02088,0.65904,1.22037,0.03195,0.82473,0.82446,0.87458,0.59344,1.11575,0.73058,1.42885,0.00341,0.00426552,0.00142184,0.00426552,0.00142184,0.00426552,0.00142184,0.00426552,0.00142184
75,2806.01,1.02878,0.66418,1.22187,0.03533,0.83092,0.81213,0.87127,0.59198,1.11543,0.72356,1.42298,0.00402,0.00424176,0.00141392,0.00424176,0.00141392,0.00424176,0.00141392,0.00424176,0.00141392
76,2835.56,1.02378,0.65919,1.21285,0.03346,0.83078,0.81393,0.87227,0.59179,1.12374,0.73534,1.43282,0.00385,0.004218,0.001406,0.004218,0.001406,0.004218,0.001406,0.004218,0.001406
77,2864.35,1.0186,0.6574,1.22152,0.03333,0.82981,0.81649,0.87161,0.5905,1.12733,0.73072,1.43392,0.00374,0.00419424,0.00139808,0.00419424,0.00139808,0.00419424,0.00139808,0.00419424,0.00139808
78,2894.87,1.01628,0.65639,1.21776,0.03212,0.832,0.81148,0.87135,0.59206,1.12653,0.74142,1.43563,0.00368,0.00417048,0.00139016,0.00417048,0.00139016,0.00417048,0.00139016,0.00417048,0.00139016
79,2924.02,1.01484,0.65318,1.20952,0.03338,0.82987,0.82262,0.87401,0.58899,1.13398,0.72209,1.44453,0.00352,0.00414672,0.00138224,0.00414672,0.00138224,0.00414672,0.00138224,0.00414672,0.00138224
80,2953.35,1.00973,0.65082,1.21437,0.03335,0.83429,0.81442,0.87098,0.58973,1.13046,0.72858,1.43825,0.00372,0.00412296,0.00137432,0.00412296,0.00137432,0.00412296,0.00137432,0.00412296,0.00137432
81,2983.21,1.01445,0.65249,1.21534,0.0319,0.82261,0.81234,0.8648,0.5832,1.15108,0.7355,1.45142,0.00362,0.0040992,0.0013664,0.0040992,0.0013664,0.0040992,0.0013664,0.0040992,0.0013664
82,3039.52,1.015,0.65339,1.21329,0.03451,0.8303,0.81454,0.86799,0.58658,1.14507,0.72978,1.44836,0.00353,0.00407544,0.00135848,0.00407544,0.00135848,0.00407544,0.00135848,0.00407544,0.00135848
83,3090.32,1.00614,0.65153,1.21148,0.03171,0.82732,0.81638,0.86844,0.58786,1.1352,0.73627,1.43591,0.0037,0.00405168,0.00135056,0.00405168,0.00135056,0.00405168,0.00135056,0.00405168,0.00135056
84,3120.17,1.00079,0.64168,1.21925,0.03103,0.82929,0.81405,0.86663,0.58976,1.13106,0.73277,1.44158,0.00368,0.00402792,0.00134264,0.00402792,0.00134264,0.00402792,0.00134264,0.00402792,0.00134264
